"ttkVertexScalarField","CriticalType","Coordinates:0","Coordinates:1","Coordinates:2","Points:0","Points:1","Points:2"
111559,2,55,29,23,0.40667,0.4067,0
113463,1,27,57,23,0.40667,0.40667,0
113327,2,29,55,23,0.40667,0.4067,0
279486,1,36,48,58,0.40667,0.40667,0
42914,2,65,0,9,0.40667,0.41631,0
279351,1,39,46,58,0.40668,0.40668,0
279487,2,37,48,58,0.40668,0.40675,0
270101,1,35,50,56,0.40668,0.40668,0
274862,2,35,50,57,0.40668,0.40675,0
107138,1,50,34,22,0.40668,0.40668,0
107206,2,49,35,22,0.40668,0.40669,0
108226,1,34,50,22,0.40668,0.40668,0
108158,2,35,49,22,0.40668,0.40669,0
530119,1,61,23,111,0.40668,0.40668,0
530051,2,62,22,111,0.40668,0.4068,0
256158,1,30,55,53,0.40668,0.40668,0
347515,2,31,68,72,0.40668,0.40676,0
111560,1,56,29,23,0.40669,0.40669,0
111492,2,57,28,23,0.40669,0.4067,0
113396,1,29,56,23,0.40669,0.40669,0
113464,2,28,57,23,0.40669,0.4067,0
251600,1,26,58,52,0.40669,0.40669,0
251464,2,28,56,52,0.40669,0.40675,0
265543,1,31,53,55,0.40669,0.40669,0
260782,2,31,53,54,0.40669,0.40675,0
473804,1,50,35,99,0.40669,0.40669,0
525358,2,61,23,110,0.40669,0.40679,0
219161,1,17,2,46,0.40669,0.40669,0
357108,2,33,0,75,0.40669,0.42645,0
223715,1,17,68,46,0.40669,0.40669,0
242351,2,23,62,50,0.40669,0.40674,0
283635,1,45,39,59,0.40669,0.40669,0
284112,2,39,46,59,0.40669,0.40676,0
284043,1,39,45,59,0.40669,0.40669,0
284044,2,40,45,59,0.40669,0.40673,0
525426,1,60,24,110,0.40669,0.40669,0
520665,2,60,24,109,0.40669,0.40679,0
242215,1,25,60,50,0.40669,0.40669,0
246976,2,25,60,51,0.40669,0.40674,0
219364,1,13,5,46,0.40669,0.40669,0
219160,2,16,2,46,0.40669,0.40672,0
464554,1,46,39,97,0.40669,0.40669,0
469110,2,48,36,98,0.40669,0.40672,0
215148,1,6,13,45,0.40669,0.40669,0
214603,2,13,5,45,0.40669,0.40672,0
214672,1,13,6,45,0.40669,0.40669,0
214671,2,12,6,45,0.40669,0.40672,0
15525,1,0,18,3,0.40669,0.40669,0
15457,2,1,17,3,0.40669,0.40686,0
15591,1,66,18,3,0.40669,0.40669,0
15523,2,67,17,3,0.40669,0.40686,0
265476,1,33,52,55,0.40669,0.40669,0
265544,2,32,53,55,0.40669,0.40673,0
237657,1,21,63,49,0.40669,0.40669,0
232896,2,21,63,48,0.40669,0.40673,0
233032,1,19,65,48,0.40669,0.40669,0
228271,2,19,65,47,0.40669,0.40673,0
520733,1,59,25,109,0.40669,0.40669,0
515972,2,59,25,108,0.40669,0.40678,0
469179,1,48,37,98,0.40669,0.40669,0
469315,2,46,39,98,0.40669,0.40672,0
501961,1,55,29,105,0.40669,0.40669,0
497200,2,55,29,104,0.40669,0.40674,0
506654,1,56,28,106,0.40669,0.40669,0
501893,2,56,28,105,0.40669,0.40675,0
6206,1,65,20,1,0.40669,0.40669,0
6274,2,64,21,1,0.40669,0.40686,0
539438,1,65,20,113,0.40669,0.40669,0
539506,2,64,21,113,0.40669,0.40686,0
497268,1,54,30,104,0.40669,0.40669,0
492507,2,54,30,103,0.40669,0.40674,0
516040,1,58,26,108,0.40669,0.40669,0
511279,2,58,26,107,0.40669,0.40677,0
511347,1,57,27,107,0.40669,0.40669,0
