x,y,z,type
22.5282876028688,24.875765822117103,0.0,wedge
23.498368993263945,24.285029983051743,0.0,wedge
23.325466155039283,24.52773557119043,0.0,trisector
36.53619908988589,24.179526297044813,0.0,trisector
40.061161289609416,24.861511856686736,0.0,wedge
41.53148005960899,24.404894848598687,0.0,trisector
65.95161957026731,24.575884094628403,0.0,trisector
66.0774498686506,24.519103314553725,0.0,wedge
90.89502051652116,24.926221216201654,0.0,wedge
92.0,25.0,0.0,trisector
15.0,25.0,0.0,trisector
16.0,25.0,0.0,trisector
16.0,25.346747059821276,0.0,wedge
18.681028190937976,25.28606168978815,0.0,wedge
19.751336719763284,25.349114856811454,0.0,trisector
21.943392816070812,25.477324376124685,0.0,trisector
21.09496838328585,25.810395599282685,0.0,wedge
22.58675995804092,25.08391738251217,0.0,trisector
22.114219636251768,25.42691652530118,0.0,wedge
23.420515429565654,25.163874585499702,0.0,wedge
42.36537050522365,25.854460699989374,0.0,trisector
43.12645271962359,25.346448398794145,0.0,wedge
54.39470568645021,25.968793899335623,0.0,wedge
62.985410257394406,25.283909362007417,0.0,trisector
63.005586112347416,25.28660649344846,0.0,wedge
77.88484629066326,25.879546980548458,0.0,trisector
92.0,26.0,0.0,wedge
15.0,26.0,0.0,wedge
16.0,26.633613216022262,0.0,trisector
21.030431058703506,26.78134135205743,0.0,trisector
30.65600003204017,26.932503018222278,0.0,trisector
31.628288004787517,26.879983369395656,0.0,wedge
32.26904099148026,26.715273819484764,0.0,trisector
33.241672711043655,26.667290173037824,0.0,wedge
34.5475749434588,26.171314548377993,0.0,trisector
36.64274656273857,26.484891205569667,0.0,wedge
37.325212963482514,26.865747778767627,0.0,trisector
56.88475986118701,26.441331218313003,0.0,trisector
60.300048641974946,26.156118224039567,0.0,wedge
74.0774359485797,26.870818184430487,0.0,wedge
90.86522210947119,26.608687417496164,0.0,trisector
15.0,27.0,0.0,wedge
31.64910551642475,27.53213203487822,0.0,trisector
31.65322606521108,27.77934799346389,0.0,wedge
37.32754202037043,27.565475138640164,0.0,wedge
76.87887731711977,27.858226825690497,0.0,trisector
84.02989611042827,27.78413817420771,0.0,trisector
86.90086477508623,27.798276916970973,0.0,wedge
90.78417335429485,27.032120307491464,0.0,wedge
90.85959606170296,27.929111629936635,0.0,trisector
15.0,28.0,0.0,trisector
18.345016396000638,28.27332420191709,0.0,wedge
21.506084504901455,28.965790403743974,0.0,trisector
31.729211155711386,28.098180859165602,0.0,trisector
81.99745152730972,28.857541890197524,0.0,wedge
88.62995295991729,28.800364795456556,0.0,trisector
15.0,29.0,0.0,wedge
17.476534571798602,29.90701050474574,0.0,wedge
18.91563959826545,29.227229174235987,0.0,trisector
19.14138398253728,29.40168531159559,0.0,wedge
31.997977293806564,29.55760321944419,0.0,wedge
31.49148487727637,29.883520783843913,0.0,trisector
38.86798836475765,29.947004394243436,0.0,trisector
39.147041726049366,29.93027721635987,0.0,wedge
40.35326026266482,29.955838131638547,0.0,trisector
47.500400418124116,29.27352136265158,0.0,trisector
47.495926452915015,29.78401857229126,0.0,wedge
72.89586347175538,29.31897333339794,0.0,trisector
81.70324683788304,29.245903702368416,0.0,trisector
81.52540244393732,29.664018263151103,0.0,wedge
83.64926133014775,29.90564231061758,0.0,wedge
86.03238867003435,29.602599071150387,0.0,wedge
18.0,31.0,0.0,trisector
19.936735272076536,30.33298739684108,0.0,trisector
19.281571759206336,30.829169826603326,0.0,wedge
20.252648500479257,30.20537622310965,0.0,trisector
20.10516971070008,30.240858982805324,0.0,wedge
21.935547441021377,30.545049908162646,0.0,wedge
25.782809169112184,30.184505935846982,0.0,trisector
25.34255724134169,30.53889043254057,0.0,wedge
26.153814602833016,30.25662464345496,0.0,wedge
27.80783391372193,30.797473681018367,0.0,wedge
30.36944107253088,30.45791927326676,0.0,wedge
47.40524521814454,30.25695464516369,0.0,trisector
47.27855848490766,30.74531595324158,0.0,wedge
81.65159971922097,30.113261493010533,0.0,trisector
86.35682530673742,30.295558267501562,0.0,trisector
90.48112662031492,30.79687698022073,0.0,wedge
20.162379530073387,31.45684073972591,0.0,trisector
22.960315832895205,31.42272106984973,0.0,trisector
23.648534237551285,31.495460579012274,0.0,wedge
25.915704705760987,31.650830116706786,0.0,trisector
27.720851209303266,31.05963731032213,0.0,trisector
35.21215093305638,31.661069000288038,0.0,wedge
39.80890772516588,31.406888344707447,0.0,wedge
40.991740582957576,31.98130984875628,0.0,trisector
41.00749683305494,31.990056790646772,0.0,wedge
47.20337331051934,31.196612174593824,0.0,trisector
78.88930215994205,31.158357593161874,0.0,wedge
18.75126680906629,32.04076532223252,0.0,wedge
22.705457766892394,32.25639046663154,0.0,wedge
27.147858391222876,32.144373762002175,0.0,wedge
42.69947822738804,32.41232821088707,0.0,trisector
45.65868556565426,32.03601076391006,0.0,wedge
46.39329125840732,32.00295045792871,0.0,wedge
46.27513485901575,32.52799913483439,0.0,trisector
83.3102580639528,32.13438594928982,0.0,wedge
83.22858257231023,32.29422793502121,0.0,trisector
86.58776281442375,32.8370096283774,0.0,trisector
87.72533411745329,32.906429863426766,0.0,wedge
90.0,33.0,0.0,trisector
17.245950158158358,33.63417941404444,0.0,trisector
21.773448798001553,33.53890959978273,0.0,trisector
22.640283035764234,33.414295348425476,0.0,wedge
35.29090162450209,33.488825406487166,0.0,trisector
39.896798166505214,33.104327604733705,0.0,wedge
39.176809050465714,33.329973478941156,0.0,trisector
40.024028031016954,33.073008477612696,0.0,trisector
74.12675937733553,33.97978217363074,0.0,trisector
78.3770784960703,33.03238954412363,0.0,wedge
83.90356881494,33.415685430335614,0.0,wedge
84.03078024572301,33.491516912490674,0.0,trisector
87.20973803346229,33.18474075742564,0.0,trisector
87.17530173291983,33.18879299045923,0.0,wedge
90.0,33.0,0.0,wedge
15.0,34.0,0.0,trisector
17.337909966596982,34.514419641932825,0.0,wedge
27.512011145060182,34.996639394064076,0.0,trisector
29.283671029973608,34.27745696596592,0.0,trisector
58.560666888558984,34.965996405613126,0.0,wedge
74.1057509283292,34.04080849047196,0.0,wedge
74.07071898608277,34.13842365209611,0.0,trisector
78.6589653846892,34.71161708337648,0.0,trisector
15.0,35.0,0.0,wedge
53.98094566152004,35.7180875447131,0.0,trisector
53.66006948132419,35.87137994611692,0.0,wedge
59.69031125671809,35.341553247524296,0.0,trisector
73.99643798151575,35.41417882751723,0.0,wedge
78.42369884364354,35.84485343473541,0.0,wedge
91.0,36.0,0.0,wedge
30.478045565963203,36.39168196693763,0.0,wedge
56.75750934340388,36.435569270765626,0.0,trisector
57.414067435542044,36.59762890851591,0.0,wedge
58.80714904252186,36.79955381345683,0.0,trisector
92.0,37.0,0.0,trisector
17.600961394116105,37.232496795446565,0.0,trisector
56.6402802181265,37.03319741541871,0.0,wedge
57.7092815032227,37.3233643133994,0.0,trisector
58.67165636671109,37.203069859226424,0.0,wedge
61.70603612349246,37.5405780851191,0.0,wedge
62.137467254084804,37.65016604785575,0.0,trisector
64.32747648489809,37.63588157924953,0.0,wedge
76.49105287329954,37.18949754211048,0.0,trisector
78.31072044523017,37.259839817833736,0.0,trisector
18.97379012660224,38.3300824839161,0.0,wedge
20.406627753043423,39.574579051001365,0.0,trisector
50.829707234182784,39.957942195202925,0.0,trisector
92.0,40.0,0.0,wedge
18.0,40.0,0.0,wedge
18.0,40.0,0.0,trisector
20.975799876843546,40.47070899678493,0.0,wedge
44.42323915123595,40.14356815093234,0.0,wedge
81.88651993238263,40.675209314076874,0.0,trisector
81.64197374293788,40.75909921437173,0.0,wedge
89.82886222784859,40.29760385725738,0.0,wedge
91.0,41.0,0.0,trisector
16.0,41.0,0.0,trisector
19.403900135309645,41.16913222359405,0.0,wedge
21.88784419611252,41.964320298794206,0.0,trisector
80.33682046805984,41.727362606886594,0.0,trisector
89.65907056594956,41.58217021223458,0.0,trisector
18.0,42.0,0.0,wedge
18.0,42.274789460785136,0.0,trisector
19.406608867728984,42.31448182666685,0.0,trisector
19.11831518879379,42.71943928663293,0.0,wedge
21.92048255387116,42.04682715875939,0.0,wedge
29.512020485088854,42.9360904345245,0.0,wedge
61.87636759333588,42.46717120941424,0.0,wedge
62.034245786692,42.5558845193971,0.0,trisector
77.42466505067941,42.46797900875352,0.0,wedge
88.9610785558403,42.96531939476112,0.0,wedge
91.0,43.0,0.0,wedge
18.0,43.0,0.0,trisector
21.323401777986327,43.90294598012697,0.0,trisector
27.821555004021803,43.80071132738849,0.0,trisector
27.80296333212348,43.81308433007829,0.0,wedge
29.589418347109564,43.35454661247983,0.0,trisector
34.615252180141155,43.158115865278624,0.0,trisector
62.42120007618997,43.226328817827394,0.0,wedge
67.1832390186537,43.87981471153389,0.0,wedge
80.33759441403134,43.24016143776178,0.0,trisector
88.99740464211725,43.92655718754084,0.0,trisector
18.66221906439982,44.212982329520855,0.0,wedge
