track_id,time_step,point_id,x,y,z
192,3,165,67.5,54.5,0.0
193,1,70,66.0,50.0,0.0
193,2,70,66.0,50.0,0.0
193,3,70,66.0,50.0,0.0
194,1,144,82.5,52.5,0.0
194,2,143,82.5,52.5,0.0
194,3,142,82.5,52.5,0.0
195,1,196,78.5,55.5,0.0
195,2,195,78.5,55.5,0.0
195,3,194,78.5,55.5,0.0
196,1,201,67.0,56.0,0.0
196,2,200,67.0,56.0,0.0
196,3,199,67.0,56.0,0.0
197,1,34,78.5,46.5,0.0
197,2,35,78.5,46.5,0.0
197,3,35,78.5,46.5,0.0
198,1,174,74.5,54.5,0.0
198,2,173,74.5,54.5,0.0
198,3,172,74.5,54.5,0.0
199,1,241,76.5,58.5,0.0
199,2,240,76.5,58.5,0.0
199,3,238,76.5,58.5,0.0
200,1,16,73.5,45.5,0.0
200,2,17,73.5,45.5,0.0
200,3,18,73.5,45.5,0.0
201,1,198,80.5,55.5,0.0
201,2,197,80.5,55.5,0.0
201,3,196,80.5,55.5,0.0
202,1,12,69.0,46.0,0.0
202,2,13,69.0,46.0,0.0
202,3,14,69.0,46.0,0.0
203,1,214,79.5,56.5,0.0
203,2,212,79.5,56.5,0.0
203,3,211,79.5,56.5,0.0
204,1,54,67.5,48.5,0.0
204,2,54,67.5,48.5,0.0
204,3,54,67.5,48.5,0.0
205,1,203,68.5,56.5,0.0
205,2,201,68.5,56.5,0.0
205,3,200,68.5,56.5,0.0
206,1,185,67.5,55.5,0.0
206,2,184,67.5,55.5,0.0
206,3,183,67.5,55.5,0.0
207,1,149,68.5,53.5,0.0
207,2,148,68.5,53.5,0.0
207,3,147,68.5,53.5,0.0
208,1,216,82.0,56.0,0.0
208,2,215,82.0,56.0,0.0
208,3,214,82.0,56.0,0.0
209,1,77,72.5,49.5,0.0
209,2,77,72.5,49.5,0.0
209,3,76,72.5,49.5,0.0
210,1,41,71.5,47.5,0.0
210,2,42,71.5,47.5,0.0
210,3,42,71.5,47.5,0.0
211,1,27,71.5,46.5,0.0
211,2,28,71.5,46.5,0.0
211,3,28,71.5,46.5,0.0
212,1,7,73.5,44.5,0.0
212,2,7,73.5,44.5,0.0
212,3,8,73.5,44.5,0.0
213,1,243,78.5,58.5,0.0
213,2,242,78.5,58.5,0.0
213,3,240,78.5,58.5,0.0
214,1,48,78.5,47.5,0.0
214,2,49,78.5,47.5,0.0
214,3,49,78.5,47.5,0.0
215,1,147,66.5,53.5,0.0
215,2,146,66.5,53.5,0.0
215,3,145,66.5,53.5,0.0
216,1,57,70.5,48.5,0.0
216,2,57,70.5,48.5,0.0
216,3,57,70.5,48.5,0.0
217,1,160,79.5,53.5,0.0
217,2,159,79.5,53.5,0.0
217,3,158,79.5,53.5,0.0
218,1,111,68.5,51.5,0.0
218,2,110,68.5,51.5,0.0
218,3,109,68.5,51.5,0.0
219,1,90,66.5,50.5,0.0
219,2,89,66.5,50.5,0.0
219,3,88,66.5,50.5,0.0
220,1,178,78.5,54.5,0.0
220,2,177,78.5,54.5,0.0
220,3,176,78.5,54.5,0.0
221,1,126,83.0,51.5,0.0
221,2,125,83.0,51.5,0.0
221,3,124,83.0,51.5,0.0
222,1,228,78.5,57.5,0.0
222,2,227,78.5,57.5,0.0
222,3,226,78.5,57.5,0.0
223,1,79,74.5,49.5,0.0
223,2,79,74.5,49.5,0.0
223,3,78,74.5,49.5,0.0
224,1,25,69.5,46.5,0.0
224,2,26,69.5,46.5,0.0
224,3,26,69.5,46.5,0.0
225,1,50,80.5,47.5,0.0
225,2,51,80.5,47.5,0.0
225,3,51,80.5,47.5,0.0
226,1,75,70.5,49.5,0.0
226,2,75,70.5,49.5,0.0
226,3,74,70.5,49.5,0.0
227,1,39,69.5,47.5,0.0
227,2,40,69.5,47.5,0.0
227,3,40,69.5,47.5,0.0
228,1,23,80.0,46.0,0.0
228,2,24,80.0,46.0,0.0
228,3,24,80.0,46.0,0.0
229,1,60,73.5,48.5,0.0
229,2,60,73.5,48.5,0.0
229,3,60,73.5,48.5,0.0
230,1,158,77.5,53.5,0.0
230,2,157,77.5,53.5,0.0
230,3,156,77.5,53.5,0.0
231,1,0,72.5,44.0,0.0
231,2,0,72.5,44.0,0.0
231,3,0,72.5,44.0,0.0
232,1,52,82.0,48.0,0.0
232,2,52,82.0,48.0,0.0
232,3,52,82.0,48.0,0.0
233,1,32,76.5,46.5,0.0
233,2,33,76.5,46.5,0.0
233,3,33,76.5,46.5,0.0
234,1,135,73.5,52.5,0.0
234,2,134,73.5,52.5,0.0
234,3,133,73.5,52.5,0.0
235,1,262,76.5,60.0,0.0
235,2,262,76.5,60.0,0.0
235,3,259,76.5,60.0,0.0
236,1,217,68.0,57.5,0.0
236,2,216,68.0,57.5,0.0
236,3,215,68.0,57.5,0.0
237,1,194,76.5,55.5,0.0
237,2,193,76.5,55.5,0.0
237,3,192,76.5,55.5,0.0
238,1,207,72.5,56.5,0.0
238,2,205,72.5,56.5,0.0
238,3,204,72.5,56.5,0.0
239,1,235,70.5,58.5,0.0
239,2,234,70.5,58.5,0.0
239,3,232,70.5,58.5,0.0
240,1,9,75.5,44.5,0.0
240,2,9,75.5,44.5,0.0
240,3,10,75.5,44.5,0.0
241,1,11,78.0,45.0,0.0
241,2,12,78.0,45.0,0.0
241,3,13,78.0,45.0,0.0
